Notes :


8/31/2022 1:41:06 PM
ADC Register Settings

Block Name,Register Name,Data,Register Address
AFE4490,CONTROL0,0,0
AFE4490,LED2STC,17C0,1
AFE4490,LED2ENDC,1F3E,2
AFE4490,LED2LEDSTC,1770,3
AFE4490,LED2LEDENDC,1F3F,4
AFE4490,ALED2STC,50,5
AFE4490,ALED2ENDC,7CE,6
AFE4490,LED1STC,820,7
AFE4490,LED1ENDC,F9E,8
AFE4490,LED1LEDSTC,7D0,9
AFE4490,LED1LEDENDC,F9F,A
AFE4490,ALED1STC,FF0,B
AFE4490,ALED1ENDC,176E,C
AFE4490,LED2CONVST,6,D
AFE4490,LED2CONVEND,7CF,E
AFE4490,ALED2CONVST,7D6,F
AFE4490,ALED2CONVEND,F9F,10
AFE4490,LED1CONVST,FA6,11
AFE4490,LED1CONVEND,176F,12
AFE4490,ALED1CONVST,1776,13
AFE4490,ALED1CONVEND,1F3F,14
AFE4490,ADCRSTSTCT0,0,15
AFE4490,ADCRSTENDCT0,5,16
AFE4490,ADCRSTSTCT1,7D0,17
AFE4490,ADCRSTENDCT1,7D5,18
AFE4490,ADCRSTSTCT2,FA0,19
AFE4490,ADCRSTENDCT2,FA5,1A
AFE4490,ADCRSTSTCT3,1770,1B
AFE4490,ADCRSTENDCT3,1775,1C
AFE4490,PRPCOUNT,1F3F,1D
AFE4490,CONTROL1,101,1E
AFE4490,SPARE1,0,1F
AFE4490,TIAGAIN,0,20
AFE4490,TIA_AMB_GAIN,0,21
AFE4490,LEDCNTRL,11414,22
AFE4490,CONTROL2,0,23
AFE4490,SPARE2,0,24
AFE4490,SPARE3,0,25
AFE4490,SPARE4,0,26
AFE4490,RESERVED1,0,27
AFE4490,RESERVED2,0,28
AFE4490,ALARM,0,29
AFE4490,LED2VAL,0,2A
AFE4490,ALED2VAL,0,2B
AFE4490,LED1VAL,0,2C
AFE4490,ALED1VAL,0,2D
AFE4490,LED2-ALED2VAL,0,2E
AFE4490,LED1-ALED1VAL,0,2F
AFE4490,DIAG,0,30
